walletAddress,approvedAddress,approvalAmount
0xfE3dE0Cba0D82246ddfFcd3C3a27513BAA48FB54,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,999999999999999999999999999999999999999999999999999999000000000000000000
0x6FAC2F998cDf47c80C9eebD39a3b7c9A295Aa6ca,0x1387a3E355a35388281Cfa6d01DedfF54AF28f7C,2604167000000000000000000
0x6FAC2F998cDf47c80C9eebD39a3b7c9A295Aa6ca,0x1387a3E355a35388281Cfa6d01DedfF54AF28f7C,0
0x6FAC2F998cDf47c80C9eebD39a3b7c9A295Aa6ca,0x511681B617f4Fe28E082E9fD9808f1C57E78E305,2604167000000000000000000
0x6FAC2F998cDf47c80C9eebD39a3b7c9A295Aa6ca,0x511681B617f4Fe28E082E9fD9808f1C57E78E305,2604167000000000000000000
0x6FAC2F998cDf47c80C9eebD39a3b7c9A295Aa6ca,0x511681B617f4Fe28E082E9fD9808f1C57E78E305,0
0xAF3D4423bbebF4198a66f27009cC1A286282ead5,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0xE592427A0AEce92De3Edee1F18E0157C05861564,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x3881c534D02c414d66d84C5E194999174a4CeF2C,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x810542F15cBfd78eB2b652873B4FbD60479fdcfc,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,7500000000000000000000
0xd5239b677720C0e0BD7bB20a6C563c9C3Cd01c4B,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,7500000000000000000000
0x4200f3ea72CD04dB84f9DFF6eEb9BCf653Fc838E,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x69696969fD9C885dEC14ed015EB320c4ED9FC60e,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x18e011F60d2EB986709EBBADBe6cb7701921f68A,0x69696969fD9C885dEC14ed015EB320c4ED9FC60e,999999999999999999999999999999999999999999999999999
0x62A4eDfb22C6FB660555a57DDD9Ef153e81FB9A8,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x7F9b4C243b9D212e547D4Bc1b4B03317d51aA0EE,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,99999000000000000000000
0xcF771B2857D14Cf25597cc15c7Bad869bE0645b7,0xE592427A0AEce92De3Edee1F18E0157C05861564,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x7CAedE01D4581855B539Cf69b9fE7e440877bbC3,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,7300000000000000000000
0x1461b71F8C8d20C0d0209977502c663Ab9E96C2B,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x82BFfb3fDc01257b9056f9b5270598a4E5b1cCb5,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x1461b71F8C8d20C0d0209977502c663Ab9E96C2B,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640562439457584007913129639935
0x86A41524CB61edd8B115A72Ad9735F8068996688,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640563931352214200415662568000
0xA27920CDF5fBbECb491dA4ef78920A8ee22b3C33,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xD617B714Ca6f7eB54a0aE29d6d45530a8E5495b0,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x3A1Ee9F0E1f86b11b066189A3BFc7d86558eAB5b,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x6DCB6D2Df8eC2F78B54529b866405cceB11308C8,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,99999999999999999999999999999999999999999999999999999999999999999
0x35908c518904Fa27A189475F9bEb682580dE3e0e,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x112af92409B81bD996cD3Aa6D33d366e19230FeA,0xE592427A0AEce92De3Edee1F18E0157C05861564,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640563881352214200415662568000
0xFb0c603E7d038974c1557a04a900EBAD3933743D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xC25e850F6cedE52809014d4eeCCA402eb47bDC28,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640563831352214200415662568000
0xF237A91Fd6a9ffD4E8AFf1eAA87d1C863413Eb3c,0xE592427A0AEce92De3Edee1F18E0157C05861564,999999999000000000000000000
0x299A299A22F8C7397d9DB3702439069d951AeA74,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xb8B8AC01D8F769f5E931a4307269Dd9f3a58e560,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,999999999000000000000000000
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640563781352214200415662568000
0x1e40329e387aC271AD207E6632A599B3A7FA20fd,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x87b96Ed8f635Ea07350a7a2cF29a9EEF68694Ac4,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x9fb358896C9B2f872be9006E80bBAa810b8E142d,0x11111112542D85B3EF69AE05771c2dCCff4fAa26,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xaB2C3D95757bd85a807513FD0009f6080e8E8898,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x2b1C5883E26E6CcfFC5a4F1c1D51C450dBf758f6,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x39526Dee330258a8D4Df05724cc25422aedf7F48,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640563731352214200415662568000
0x591e5f3b30808f6bE7f939124Cb698fe0A59B4Ea,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640563681352214200415662568000
0xfEf2c2186407e4C3Fa3Ad5dC22a6B2e6e3924814,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x2d55748cE1b792d1Ba65f42AFcF189fdc386BBcF,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x8aDdfE0578Be4e848A4F1010fF88990Dcd2aFF30,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640563631352214200415662568000
0xf6da21E95D74767009acCB145b96897aC3630BaD,0xD78A3280085Ee846196cB5fab7D510B279486d44,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xf6da21E95D74767009acCB145b96897aC3630BaD,0xD78A3280085Ee846196cB5fab7D510B279486d44,115792089237316195423570985008687907853269984665640563992966783153371762471474
0x591e5f3b30808f6bE7f939124Cb698fe0A59B4Ea,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564021059354139679135360438
0x799D50666B0d85D3617cB4BeE588AF2e1Cc26a69,0x2a3bFF78B79A009976EeA096a51A948a3dC00e34,99999999999000000000000000000
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640563581352214200415662568000
0x48C5A96aD931f92025f6FCe41967Bf45Bd65AdF7,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x996131EEd1fc6f83F8245602c8D171227311ceAf,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x7D9cEF54B37e4e177fc580d0053301dfBb9a1030,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x70bE2bFE60d875FAAd5922F2379aF1a0AFC8e754,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x17104E096bEC86036A564BFF17b4169Cd4f215D2,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640563531352214200415662568000
0x3c2012c39CF823Bd116eb445Fc662C5A0946CaD8,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x35908c518904Fa27A189475F9bEb682580dE3e0e,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640563928455249858934425657371
0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0x4265D0360d9A1974f6cb9d4c11614f363ddC7753,115792089237316195423570985008687907853269984665640563481352214200415662568000
0xb7a7969b60Af50A6710372000820e95e07D296FE,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xb7a7969b60Af50A6710372000820e95e07D296FE,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xf6da21E95D74767009acCB145b96897aC3630BaD,0xD78A3280085Ee846196cB5fab7D510B279486d44,115792089237316195423570985008687907853269984665640563832951004623807178460269
0xB2a870eFc8c19CDA978453280aAD3B3632a364c5,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
