walletAddress,approvedAddress,approvalAmount
0xD3cBe4fcA085966fc9813887a9c84d9a635e0c2D,0x3aC551725ac98C5DCdeA197cEaaE7cDb8a71a2B4,0
0x774f0674852746752433dC5b2981757b01A84E02,0x000000000022D473030F116dDEE9F6B43aC78BA3,0
0x5227A314a5C0B6b8C126eAed32117312d098d816,0x000000000022D473030F116dDEE9F6B43aC78BA3,115792089237316195423570985008687907853269984665640563848104126088137829962290
0xDA5DD51A8869aA961b13A3FCAe5ef5e2Cd565Bef,0x1111111254EEB25477B68fb85Ed929f73A960582,115792089237316195423570985008687907853269984665640561602336598513555712245759
0xDA5DD51A8869aA961b13A3FCAe5ef5e2Cd565Bef,0x1111111254EEB25477B68fb85Ed929f73A960582,115792089237316195423570985008687907853269984665640561582910703755894407823359
0x126b7dFdB972464dF222a752fe12e9F4A4DA6B5E,0x3aC551725ac98C5DCdeA197cEaaE7cDb8a71a2B4,9975868995328835218949
0x126b7dFdB972464dF222a752fe12e9F4A4DA6B5E,0x3aC551725ac98C5DCdeA197cEaaE7cDb8a71a2B4,9975868995328835218949
0x126b7dFdB972464dF222a752fe12e9F4A4DA6B5E,0x3aC551725ac98C5DCdeA197cEaaE7cDb8a71a2B4,0
0x743845d173aEE4Fa95B03Bb713c21ABde0cf5772,0x881D40237659C251811CEC9c364ef91dC08D300C,115792089237316195423570985008687907853269984665640563976975854021753244909124
0x74de5d4FCbf63E00296fd95d33236B9794016631,0x1111111254EEB25477B68fb85Ed929f73A960582,115792089237316195423570985008687907853269984665640553941482195102341724067512
0x5419d8c741DBdAB3799FFA8Df57cfee3E6Ca20e6,0x881D40237659C251811CEC9c364ef91dC08D300C,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x5419d8c741DBdAB3799FFA8Df57cfee3E6Ca20e6,0x881D40237659C251811CEC9c364ef91dC08D300C,115792089237316195423570985008687907853269984665640564039277321369731221602913
0x74de5d4FCbf63E00296fd95d33236B9794016631,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,115792089237316195423570985008687907853269984665640558948292332105340606468009
0x3aa7F877e0850De8b5678438A5439bf4B17C14C6,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,30420015614232415610
